FishIDs,Stock,Pond,Trial,Chamber.No,Ind,Mass,Volume,SMR.Start.Date,SMR.Date.Time,SMR.Phase,SMR.Temp.true,Temp.factor,Slope.with.BR.SMR,Slope.SMR,SE.SMR,R2.SMR,MR.abs.with.BR,BR.SMR,SMR.abs,SMR,SMR.units,DO.unit,MMR.Date,MMR.Date.Time,MMR.Phase,MMR.Temp.true,Slope.with.BR.MMR,Slope.MMR,SE.MMR,R2.MMR,MR.abs.with.BR.MMR,BR.MMR,MMR.abs,MMR,MMR.units,MMR.Best.Temp,MMR.Best.abs.with.BR,MMR.Best.BR,MR.Best.abs,MMR.Best,MMR.Best.units,Trial.Best.MMR,Experiment,test.Num,Replicate,AS.absolute,AS.absolute.units,AS.factorial,AS.Best.absolute,AS.Best.absolute.units,AS.Best.factorial,K,relative.weight
11,LP,BC,Acute,CH3,3,2.99,78,8/7/21,(2021-Aug-07 12:50:12),M74,21.01272222,21,-0.002491913,-0.002313501,3.30E-05,0.965091955,0.672906216,7.159620815,0.624728682,208.9393586,3.482322643,mg O2,8/7/21,(2021-Aug-07 15:50:06),M3,21.01038889,-0.00621325,-0.006192601,3.98E-05,0.992689735,1.67780128,0.3323491,1.672225123,559.2726163,9.321210272,21.01038889,1.67780128,0.3323491,1.672225123,559.2726163,9.321210272,MMR,1,4,2,350.3332577,5.838887628,2.676722184,350.3332577,5.838887628,2.676722184,0.672439519,87.23280868
12,LP,BC,Acute,CH4,4,2.65,78,8/7/21,(2021-Aug-07 08:04:12),M48,21.01127778,21,-0.00266578,-0.002513361,2.33E-05,0.984984837,0.723119474,5.717605772,0.681774353,257.2733408,4.287889013,mg O2,8/7/21,(2021-Aug-07 16:01:06),M4,20.94094444,-0.006084301,-0.006000725,3.03E-05,0.995471605,1.650427471,1.37363818,1.627756569,614.247762,10.2374627,20.94094444,1.650427471,1.37363818,1.627756569,614.247762,10.2374627,MMR,1,4,2,356.9744212,5.949573687,2.387529777,356.9744212,5.949573687,2.387529777,0.666548148,86.96019376
13,LP,BC,Acute,CH5,5,2.35,78,8/7/21,(2021-Aug-07 13:56:12),M80,20.92266667,21,-0.002799215,-0.002609547,3.98E-05,0.96014111,0.762338167,6.775763524,0.710683935,302.4186958,5.040311597,mg O2,8/7/21,(2021-Aug-07 16:12:06),M5,20.91505556,-0.005566156,-0.005226727,3.10E-05,0.99375943,1.515886828,6.098087671,1.42344672,605.7220086,10.09536681,20.91505556,1.515886828,6.098087671,1.42344672,605.7220086,10.09536681,MMR,1,4,2,303.3033128,5.055055213,2.00292514,303.3033128,5.055055213,2.00292514,0.664973423,87.39456771
14,LP,BC,Acute,CH6,6,2.44,78,8/7/21,(2021-Aug-07 11:00:12),M64,20.91572222,21,-0.00234326,-0.002514456,3.63E-05,0.964150425,0.637404281,-7.305877674,0.683972258,280.316499,4.67194165,mg O2,8/7/21,(2021-Aug-07 16:23:06),M6,20.8865,-0.006099884,-0.006347685,3.59E-05,0.994329594,1.65926605,-4.06238804,1.726671876,707.6524081,11.7942068,20.8865,1.65926605,-4.06238804,1.726671876,707.6524081,11.7942068,MMR,1,4,2,427.3359091,7.122265152,2.524476478,427.3359091,7.122265152,2.524476478,0.569555495,73.98965908
15,LP,BC,Acute,CH7,7,2.22,78,8/7/21,(2021-Aug-07 02:45:12),M19,20.92461111,21,-0.002448059,-0.002062586,1.95E-05,0.984361369,0.667850082,15.74606874,0.562689949,253.4639411,4.224399018,mg O2,8/7/21,(2021-Aug-07 16:45:06),M8,20.86205556,-0.004203104,-0.004596341,3.89E-05,0.987440587,1.14664046,-9.355860692,1.253918544,564.8281729,9.413802881,20.86205556,1.14664046,-9.355860692,1.253918544,564.8281729,9.413802882,MMR,1,4,2,311.3642318,5.189403863,2.228436007,311.3642318,5.189403863,2.228436007,0.679637808,89.59247703
16,LP,BC,Acute,CH8,8,2.46,78,8/7/21,(2021-Aug-07 10:27:12),M61,20.94127778,21,-0.002268691,-0.001922196,2.55E-05,0.969652735,0.616956978,15.27290355,0.522729733,212.4917615,3.541529358,mg O2,8/7/21,(2021-Aug-07 16:45:06),M8,20.86205556,-0.004428916,-0.004734186,4.53E-05,0.983963608,1.204417083,-6.892666889,1.28743354,523.3469675,8.722449459,20.86205556,1.204417083,-6.892666889,1.28743354,523.3469675,8.722449458,MMR,1,4,2,310.855206,5.1809201,2.462904744,310.855206,5.1809201,2.462904744,0.689997568,90.72879862
17,LP,BC,Acute,CH1,1,3.65,78,8/5/21,(2021-Aug-05 04:47:08),M54,23.04738889,23,-0.004613236,-0.004529517,2.44E-05,0.994874188,1.234778691,1.81476076,1.212370411,332.1562771,5.535937952,mg O2,8/5/21,(2021-Aug-05 11:09:34),M1,23.02694444,-0.010072059,-0.010038304,2.69E-05,0.998728027,2.695887379,0.335132579,2.686852582,736.1239951,12.26873325,23.02694444,2.695887379,0.335132579,2.686852582,736.1239951,12.26873325,MMR,1,2,1,403.967718,6.7327953,2.216197753,403.967718,6.7327953,2.216197753,0.655066582,83.8446885
18,LP,BC,Acute,CH2,2,2.67,78,8/5/21,(2021-Aug-05 07:43:08),M70,23.00522222,23,-0.003109319,-0.00274784,3.59E-05,0.970526846,0.84320988,11.62564104,0.745181326,279.0941295,4.651568825,mg O2,8/5/21,(2021-Aug-05 11:20:34),M2,23.01311111,-0.006361602,-0.006276713,3.11E-05,0.995662138,1.725189994,1.334391386,1.702169207,637.5165569,10.62527595,23.01311111,1.725189994,1.334391386,1.702169207,637.5165569,10.62527595,MMR,1,2,1,358.4224274,5.973707123,2.284234921,358.4224274,5.973707123,2.284234921,0.649481482,84.73361697
19,LP,BC,Acute,CH3,3,3.06,78,8/5/21,(2021-Aug-05 07:32:08),M69,23.00866667,23,-0.003074551,-0.002934233,3.93E-05,0.968809508,0.829464656,4.563851206,0.791609123,258.6957918,4.31159653,mg O2,8/4/21,(2021-Aug-05 11:31:34),M3,23.06077778,-0.006493066,-0.006472417,2.25E-05,0.99784833,1.751725441,0.31802665,1.746154488,570.6387214,9.510645357,23.04822222,1.801093247,0.400923075,1.793872248,586.2327609,9.770546015,SMR,1,2,1,311.9429296,5.199048827,2.205829161,327.5369691,5.458949485,2.266108609,0.672439519,87.23280868
20,LP,BC,Acute,CH4,4,2.75,78,8/5/21,(2021-Aug-05 05:31:08),M58,23.0335,23,-0.003493075,-0.003318246,1.94E-05,0.993919915,0.94627402,5.005007291,0.898912936,326.8774313,5.447957188,mg O2,8/4/21,(2021-Aug-05 11:42:34),M4,23.06316667,-0.006073994,-0.005990418,1.86E-05,0.998285822,1.645444966,1.375969107,1.622804152,590.1106007,9.835176678,23.04822222,1.733657455,1.397735673,1.709425507,621.6092752,10.36015459,SMR,1,2,1,263.2331694,4.38721949,1.805296249,294.7318439,4.912197398,1.90165859,0.666548148,86.96019376
21,LP,BC,Acute,CH5,5,2.44,78,8/5/21,(2021-Aug-05 08:27:08),M74,22.98777778,23,-0.00251545,-0.00231188,3.34E-05,0.964270263,0.68424256,8.092762662,0.628868433,257.7329645,4.295549408,mg O2,8/5/21,(2021-Aug-05 12:26:34),M8,23.04227778,-0.005337558,-0.005032557,2.32E-05,0.996233542,1.451901162,5.714236173,1.3689361,561.0393853,9.350656422,23.04227778,1.451901162,5.714236173,1.3689361,561.0393853,9.350656422,MMR,1,2,1,303.3064208,5.055107013,2.17682432,303.3064208,5.055107013,2.17682432,0.664973423,87.39456771
22,LP,BC,Acute,CH6,6,2.55,78,8/5/21,(2021-Aug-05 10:17:08),M84,23.03727778,23,-0.00306084,-0.003204871,2.57E-05,0.988639969,0.831385231,-4.705604483,0.870506932,341.3752674,5.68958779,mg O2,8/5/21,(2021-Aug-05 12:04:34),M6,23.06,-0.005817631,-0.006065432,5.44E-05,0.985882023,1.58018491,-4.259482291,1.647492606,646.0755319,10.76792553,22.99955556,1.617140248,-2.824103722,1.662809966,652.0823394,10.86803899,SMR,1,2,1,304.7002645,5.078337742,1.892566901,310.707072,5.1784512,1.910162808,0.569555495,73.98965908
23,LP,BC,Acute,CH7,7,2.53,78,8/5/21,(2021-Aug-05 09:55:08),M82,23.04666667,23,-0.001583442,-0.002014392,2.75E-05,0.967736103,0.430208469,-27.21603337,0.547294149,216.3217981,3.605363302,mg O2,8/5/21,(2021-Aug-05 12:26:34),M8,23.04227778,-0.004732929,-0.005126165,3.31E-05,0.992624612,1.285898911,-8.308524964,1.392738143,550.4893846,9.174823077,23.04227778,1.285898911,-8.308524964,1.392738143,550.4893846,9.174823077,MMR,1,2,1,334.1675865,5.569459775,2.544770751,334.1675865,5.569459775,2.544770751,0.679637808,89.59247703
24,LP,BC,Acute,CH8,8,2.52,78,8/5/21,(2021-Aug-05 03:41:08),M48,22.99644444,23,-0.001622427,-0.001959792,2.51E-05,0.971312813,0.440858903,-20.79380087,0.532530226,211.3215181,3.522025302,mg O2,8/5/21,(2021-Aug-05 12:26:34),M8,23.04227778,-0.005987392,-0.006292662,4.55E-05,0.990784915,1.626941963,-5.098554276,1.709892483,678.5287629,11.30881272,23.04227778,1.626941963,-5.098554276,1.709892483,678.5287629,11.30881272,MMR,1,2,1,467.2072448,7.786787413,3.21088344,467.2072448,7.786787413,3.21088344,0.689997568,90.72879862
25,LP,BC,Acute,CH1,1,3.6,78,8/6/21,(2021-Aug-06 04:14:39),M61,24.954,25,-0.004556029,-0.004471509,2.69E-05,0.993574146,1.220286703,1.855109851,1.197649044,332.6802901,5.544671502,mg O2,8/6/21,(2021-Aug-06 09:25:23),M2,24.966,-0.009348682,-0.009312223,3.11E-05,0.9980185,2.5039509,0.389984705,2.494185875,692.8294096,11.54715683,24.966,2.5039509,0.389984705,2.494185875,692.8294096,11.54715683,MMR,1,3,1,360.1491195,6.002485325,2.08256825,360.1491195,6.002485325,2.08256825,0.655066582,83.8446885
26,LP,BC,Acute,CH2,2,2.69,78,8/6/21,(2021-Aug-06 02:02:39),M49,25.03077778,25,-0.003281641,-0.00306,3.11E-05,0.981944496,0.889705389,6.753961849,0.829615027,308.4070731,5.140117885,mg O2,8/6/21,(2021-Aug-06 09:25:23),M2,24.966,-0.006791813,-0.006706238,4.90E-05,0.990577655,1.841369197,1.259972351,1.818168455,675.8990538,11.26498423,24.966,1.841369197,1.259972351,1.818168455,675.8990538,11.26498423,MMR,1,3,1,367.4919807,6.124866345,2.19158091,367.4919807,6.124866345,2.19158091,0.649481482,84.73361697
27,LP,BC,Acute,CH3,3,3.03,78,8/6/21,(2021-Aug-06 07:54:39),M81,24.97477778,25,-0.004255132,-0.004030381,2.49E-05,0.993233587,1.148425951,5.281860165,1.087767698,358.9992404,5.983320673,mg O2,8/6/21,(2021-Aug-06 09:36:23),M3,24.95394444,-0.00777839,-0.007757366,5.61E-05,0.990760794,2.099325355,0.270295443,2.093650974,690.9739188,11.51623198,24.95394444,2.099325355,0.270295443,2.093650974,690.9739188,11.51623198,MMR,1,3,1,331.9746784,5.532911307,1.924722509,331.9746784,5.532911307,1.924722509,0.672439519,87.23280868
28,LP,BC,Acute,CH4,4,2.73,78,8/6/21,(2021-Aug-06 07:43:39),M80,24.95772222,25,-0.003544059,-0.00327128,1.94E-05,0.99378452,0.960340794,7.696796028,0.886425322,324.6979202,5.411632003,mg O2,8/6/21,(2021-Aug-06 09:47:23),M4,24.93138889,-0.007594484,-0.007509833,4.98E-05,0.99224004,2.057892653,1.114646057,2.034954434,745.4045544,12.42340924,24.93138889,2.057892653,1.114646057,2.034954434,745.4045544,12.42340924,MMR,1,3,1,420.7066342,7.011777237,2.295686261,420.7066342,7.011777237,2.295686261,0.666548148,86.96019376
29,LP,BC,Acute,CH5,5,2.37,78,8/6/21,(2021-Aug-06 04:14:39),M61,24.92361111,25,-0.003909218,-0.003679459,2.35E-05,0.992769753,1.064354934,5.877349135,1.001799078,422.7000329,7.045000548,mg O2,8/5/21,(2021-Aug-06 09:36:23),M3,24.94616667,-0.00670705,-0.006344304,2.85E-05,0.996418888,1.826115128,5.4084355,1.727350869,728.8400292,12.14733382,24.94616667,1.826115128,5.4084355,1.727350869,728.8400292,12.14733382,MMR,1,3,1,306.1399963,5.102333272,1.724248811,306.1399963,5.102333272,1.724248811,0.664973423,87.39456771
30,LP,BC,Acute,CH6,6,2.43,78,8/6/21,(2021-Aug-06 05:42:39),M69,24.89922222,25,-0.003551967,-0.003389902,2.46E-05,0.990678994,0.966319628,4.562664389,0.922229706,379.5183977,6.325306628,mg O2,8/5/21,(2021-Aug-06 10:31:23),M8,24.89116667,-0.005989155,-0.006217565,2.22E-05,0.997738856,1.629361732,-3.8137194,1.691501016,696.0909531,11.60151588,24.92866667,1.823296941,-3.59739277,1.888888094,777.3202031,12.95533672,SMR,1,3,1,316.5725554,5.276209257,1.834142843,397.8018054,6.63003009,2.048175287,0.569555495,73.98965908
31,LP,BC,Acute,CH7,7,2.22,78,8/6/21,(2021-Aug-06 07:54:39),M81,24.94483333,25,-0.003534296,-0.003104975,2.49E-05,0.988706862,0.964184326,12.14728135,0.847062143,381.5595239,6.359325398,mg O2,8/5/21,(2021-Aug-06 10:31:23),M8,24.89116667,-0.00565592,-0.006050075,4.57E-05,0.98992958,1.542980142,-6.968905428,1.650508969,743.4725085,12.39120848,24.98433333,1.770622354,-5.951878874,1.876007652,845.048492,14.08414153,SMR,1,3,1,361.9129846,6.031883077,1.948509897,463.4889681,7.724816135,2.214722577,0.679637808,89.59247703
32,LP,BC,Acute,CH8,8,2.51,78,8/6/21,(2021-Aug-05 23:50:39),M37,24.95861111,25,-0.002335798,-0.002022286,2.62E-05,0.971006748,0.634785816,13.42204023,0.549584609,218.9580115,3.649300192,mg O2,8/5/21,(2021-Aug-06 12:43:23),M20,24.986,-0.007059527,-0.007434577,3.45E-05,0.996190518,1.918525339,-5.312683154,2.020450511,804.960363,13.41600605,24.986,1.918525339,-5.312683154,2.020450511,804.960363,13.41600605,MMR,1,3,1,586.0023515,9.766705858,3.676322951,586.0023515,9.766705858,3.676322951,0.689997568,90.72879862
33,UP,ME,Acute,CH1,9,2.59,78,8/16/21,(2021-Aug-17 08:10:03),M68,21.04533333,21,-0.002687911,-0.002383084,4.89E-05,0.952491867,0.729703293,11.34067602,0.646950007,249.7876475,4.163127459,mg O2,8/17/21,(2021-Aug-17 13:12:52),M1,21.02558333,-0.005426177,-0.005195322,6.81E-05,0.980128195,1.473076958,4.254471635,1.410405317,544.5580375,9.075967291,25.00955556,1.473076958,4.254471635,1.410405317,544.5580375,9.075967292,MMR,2,1,1,294.77039,4.912839833,2.180083935,294.77039,4.912839833,2.180083935,0.692818695,91.37654896
34,UP,ME,Acute,CH2,10,4.42,78,8/16/21,(2021-Aug-17 07:10:03),M62,21.00708333,21,-0.003924576,-0.003678202,6.75E-05,0.961508911,1.039573117,6.277715088,0.974311679,220.4325065,3.673875109,mg O2,8/16/21,(2021-Aug-17 13:45:52),M4,21.02466667,-0.007015004,-0.006874769,6.55E-05,0.989409877,1.858190452,1.999072081,1.821043885,412.000879,6.866681317,25.01322222,3.168000425,1.011542084,3.135954768,709.4920289,11.82486715,SMR,2,1,1,191.5683725,3.192806208,1.869056817,489.0595224,8.15099204,3.218636127,0.658012506,83.68770807
35,UP,ME,Acute,CH3,11,4.63,78,8/16/21,(2021-Aug-16 23:20:03),M15,21.05233333,21,-0.003856011,-0.003842213,6.67E-05,0.965637852,1.018495799,0.357819731,1.01485142,219.1903715,3.653172858,mg O2,8/17/21,(2021-Aug-17 13:45:52),M4,21.02466667,-0.008165852,-0.008146387,6.04E-05,0.99354746,2.156862827,0.238375557,2.151721394,464.7346422,7.745577371,24.99655556,2.542986662,0.211837685,2.537599658,548.0776799,9.134627998,SMR,2,1,1,245.5442707,4.092404512,2.120232924,328.8873084,5.48145514,2.500464214,0.680959219,86.60612956
36,UP,ME,Acute,CH4,12,4.39,78,8/16/21,(2021-Aug-17 04:00:03),M43,21.01508333,21,-0.003508972,-0.003428346,5.96E-05,0.965519642,0.929863413,2.297682078,0.908498108,206.9471773,3.449119621,mg O2,8/17/21,(2021-Aug-17 14:07:52),M6,21.00341667,-0.005951109,-0.006007159,0.000123315,0.952630398,1.577020097,-0.94183964,1.591873098,362.6134619,6.043557698,25.00311111,2.752438237,1.103268178,2.722071462,620.0618364,10.33436394,SMR,2,1,1,155.6662846,2.594438077,1.752202985,413.1146591,6.885244318,2.996232394,0.656031587,83.61079127
37,UP,ME,Acute,CH5,13,4.28,78,8/16/21,(2021-Aug-17 03:40:03),M41,20.93658333,21,-0.004571522,-0.00468514,5.90E-05,0.981368811,1.213245241,-2.485357572,1.243398723,290.5137203,4.841895339,mg O2,8/17/21,(2021-Aug-17 13:56:52),M5,20.973,-0.009976917,-0.010098842,7.82E-05,0.992970063,2.647794019,-1.222070142,2.680151919,626.2037194,10.43672866,24.93533333,3.25035106,-0.426599188,3.264217032,762.6675308,12.71112551,SMR,2,1,1,335.6899991,5.594833318,2.155504803,472.1538105,7.869230175,2.625237562,0.583036741,73.7276259
38,UP,ME,Acute,CH6,14,4.88,78,8/16/21,(2021-Aug-17 02:40:03),M35,20.92641667,21,-0.003841736,-0.003605449,7.26E-05,0.954298636,1.011267811,6.15052984,0.949069482,194.4814513,3.241357522,mg O2,8/16/21,(2021-Aug-17 14:29:52),M8,20.99016667,-0.006009416,-0.005773114,6.32E-05,0.986075202,1.581870684,3.932199474,1.519668374,311.4074536,5.190124227,24.93166667,3.396166085,1.545774201,3.343669026,685.178079,11.41963465,SMR,2,1,1,116.9260023,1.948766705,1.601219301,490.6966277,8.178277128,3.523102457,0.674217271,85.43100743
39,UP,ME,Acute,CH7,15,4.24,78,8/16/21,(2021-Aug-17 09:00:03),M73,20.94083333,21,-0.003207146,-0.002865513,6.02E-05,0.950619436,0.851612689,10.65225118,0.760896767,179.4567846,2.99094641,mg O2,8/16/21,(2021-Aug-17 14:29:52),M8,20.99016667,-0.006623409,-0.006282099,4.73E-05,0.993352156,1.758753504,5.153087526,1.668123397,393.4253294,6.557088823,24.93344444,2.740047878,3.319147318,2.649101652,624.7881255,10.41313543,SMR,2,1,1,213.9685448,3.566142413,2.192312374,445.3313409,7.422189015,3.48155199,0.683952224,87.35426738
40,UP,ME,Acute,CH8,16,4.97,78,8/16/21,(2021-Aug-16 23:30:03),M16,20.93666667,21,-0.004583608,-0.004233111,5.75E-05,0.978699071,1.20506728,7.646750509,1.112918792,223.9273223,3.732122038,mg O2,8/17/21,(2021-Aug-17 14:29:52),M8,20.99016667,-0.00742536,-0.007176935,8.72E-05,0.982878655,1.952186607,3.345626911,1.886873726,379.6526612,6.327544353,24.93166667,2.346212553,1.809418434,2.30375975,463.5331489,7.725552482,SMR,2,1,1,155.7253389,2.595422315,1.69542804,239.6058266,3.993430443,2.07001604,0.63192453,79.62285824
41,UP,ME,Acute,CH1,9,2.35,78,8/19/21,(2021-Aug-19 18:39:14),M9,21.00133333,21,-0.002547819,-0.002311084,4.08E-05,0.96445784,0.693873128,9.291680534,0.629400654,267.8300655,4.463834425,mg O2,8/19/21,(2021-Aug-20 09:20:43),M2,20.98791667,-0.0045974,-0.004361853,5.31E-05,0.98280045,1.252055912,5.123490785,1.187906943,505.4923162,8.424871936,22.86322222,1.82672492,3.883377775,1.755786291,747.1431024,12.45238504,SMR,2,4,2,237.6622507,3.961037512,1.887362105,479.3130369,7.988550615,2.789616248,0.692818695,91.37654896
42,UP,ME,Acute,CH2,10,4.18,78,8/19/21,(2021-Aug-20 05:50:14),M70,20.98275,21,-0.003679484,-0.003360543,6.31E-05,0.95997235,0.977830224,8.668078497,0.893071133,213.6533811,3.560889685,mg O2,8/20/21,(2021-Aug-20 09:31:43),M3,21.00583333,-0.009125974,-0.008994068,6.10E-05,0.994606282,2.425245861,1.445390781,2.390191581,571.8161678,9.530269463,22.86322222,2.425245861,1.445390781,2.390191581,571.8161678,9.530269463,MMR,2,4,2,358.1627867,5.969379778,2.676373128,358.1627867,5.969379778,2.676373128,0.658012506,83.68770807
43,UP,ME,Acute,CH3,11,4.28,78,8/19/21,(2021-Aug-20 01:26:14),M46,21.00766667,21,-0.002821844,-0.002753988,3.69E-05,0.979383309,0.748894826,2.404659005,0.730886459,170.7678643,2.846131072,mg O2,8/20/21,(2021-Aug-20 09:31:43),M3,21.00583333,-0.007288002,-0.007271263,7.49E-05,0.987627782,1.934177494,0.229687579,1.929734928,450.8726468,7.514544113,22.85488889,2.204617465,1.865003111,2.163501281,505.4909535,8.424849225,SMR,2,4,2,280.1047825,4.668413042,2.640266356,334.7230892,5.578718153,2.960105846,0.680959219,86.60612956
