"FishIDs","Stock","Pond","Trial","Chamber.No","Ind","Mass","Volume","SMR.Start.Date","SMR.Date.Time","SMR.Phase","SMR.Temp.true","Temp.factor","Slope.with.BR.SMR","Slope.SMR","SE.SMR","R2.SMR","MR.abs.with.BR","BR.SMR","SMR.abs","SMR","SMR.units","DO.unit","MMR.Date","MMR.Date.Time","MMR.Phase","MMR.Temp.true","Slope.with.BR.MMR","Slope.MMR","SE.MMR","R2.MMR","MR.abs.with.BR.MMR","BR.MMR","MMR.abs","MMR","MMR.units","MMR.Best.Temp","MMR.Best","MMR.Best.units","DO.unit.1","Trial.Best.MMR","Experiment","test.Num","Replicate","AS.absolute","AS.absolute.units","AS.factorial","AS.Best.absolute","AS.Best.absolute.units","AS.Best.factorial","K","relative.weight","SMR.nm","SMR.nm.units","MMR.nm","MMR.nm.units","SMR.ms","SMR.ms.units","MMR.ms","MMR.ms.units","MMR.Best.ms","MMR.Best.ms.units","AS.ms","AS.ms.units","AS.Best.ms","AS.Best.ms.units"
11,"LP","BC","Acute","CH3",3,2.99,78,"8/7/21","(2021-Aug-07 12:50:12)","M74",21.01272222,"21",-0.002491913,-0.002313501,3.3e-05,0.965091955,0.672906216,7.159620815,0.624728682,208.9393586,3.482322643,"mg O2","8/7/21","(2021-Aug-07 15:50:06)","M3",21.01038889,-0.00621325,-0.006192601,3.98e-05,0.992689735,1.67780128,0.3323491,1.672225123,559.2726163,9.321210272,21.01038889,559.2726163,9.321210272,"mg O2","MMR",1,4,2,350.3332577,5.838887628,2.676722184,350.3332577,5.838887628,2.676722184,0.672439519,87.23280868,0.624728682214,0.01041214470257,1.672225122737,0.02787041871328,251.983839490643,4.19973065777538,583.567488142398,9.72612480272112,583.567488142398,9.72612480272112,331.583648651755,5.52639414494574,331.583648651755,5.52639414494574
12,"LP","BC","Acute","CH4",4,2.65,78,"8/7/21","(2021-Aug-07 08:04:12)","M48",21.01127778,"21",-0.00266578,-0.002513361,2.33e-05,0.984984837,0.723119474,5.717605772,0.681774353,257.2733408,4.287889013,"mg O2","8/7/21","(2021-Aug-07 16:01:06)","M4",20.94094444,-0.006084301,-0.006000725,3.03e-05,0.995471605,1.650427471,1.37363818,1.627756569,614.247762,10.2374627,20.94094444,614.247762,10.2374627,"mg O2","MMR",1,4,2,356.9744212,5.949573687,2.387529777,356.9744212,5.949573687,2.387529777,0.666548148,86.96019376,0.68177435312,0.01136290588445,1.6277565693,0.027129276155,317.063721277046,5.28439535420663,644.08743365464,10.7347905609107,644.08743365464,10.7347905609107,327.023712377594,5.45039520670403,327.023712377594,5.45039520670403
13,"LP","BC","Acute","CH5",5,2.35,78,"8/7/21","(2021-Aug-07 13:56:12)","M80",20.92266667,"21",-0.002799215,-0.002609547,3.98e-05,0.96014111,0.762338167,6.775763524,0.710683935,302.4186958,5.040311597,"mg O2","8/7/21","(2021-Aug-07 16:12:06)","M5",20.91505556,-0.005566156,-0.005226727,3.1e-05,0.99375943,1.515886828,6.098087671,1.42344672,605.7220086,10.09536681,20.91505556,605.7220086,10.09536681,"mg O2","MMR",1,4,2,303.3033128,5.055055213,2.00292514,303.3033128,5.055055213,2.00292514,0.664973423,87.39456771,0.71068393513,0.01184473225295,1.42344672021,0.0237241120035,380.816185288603,6.34693642189645,638.260902688129,10.6376817114688,638.260902688129,10.6376817114688,257.444717399526,4.29074528957236,257.444717399526,4.29074528957236
14,"LP","BC","Acute","CH6",6,2.44,78,"8/7/21","(2021-Aug-07 11:00:12)","M64",20.91572222,"21",-0.00234326,-0.002514456,3.63e-05,0.964150425,0.637404281,-7.305877674,0.683972258,280.316499,4.67194165,"mg O2","8/7/21","(2021-Aug-07 16:23:06)","M6",20.8865,-0.006099884,-0.006347685,3.59e-05,0.994329594,1.65926605,-4.06238804,1.726671876,707.6524081,11.7942068,20.8865,707.6524081,11.7942068,"mg O2","MMR",1,4,2,427.3359091,7.122265152,2.524476478,427.3359091,7.122265152,2.524476478,0.569555495,73.98965908,0.68397225756,0.011399537626,1.726671875764,0.028777864592,350.613841916075,5.84356403193459,744.52720799504,12.4087867981638,744.52720799504,12.4087867981638,393.913366078965,6.56522276622923,393.913366078965,6.56522276622923
15,"LP","BC","Acute","CH7",7,2.22,78,"8/7/21","(2021-Aug-07 02:45:12)","M19",20.92461111,"21",-0.002448059,-0.002062586,1.95e-05,0.984361369,0.667850082,15.74606874,0.562689949,253.4639411,4.224399018,"mg O2","8/7/21","(2021-Aug-07 16:45:06)","M8",20.86205556,-0.004203104,-0.004596341,3.89e-05,0.987440587,1.14664046,-9.355860692,1.253918544,564.8281729,9.413802881,20.86205556,564.8281729,9.413802882,"mg O2","MMR",1,4,2,311.3642318,5.189403863,2.228436007,311.3642318,5.189403863,2.228436007,0.679637808,89.59247703,0.562689949242,0.00937816581996,1.253918543838,0.02089864239582,322.443835001602,5.37406391626931,596.550391212782,9.94250651950893,596.550391212782,9.94250652056509,274.10655621118,4.56844260323961,274.10655621118,4.56844260429578
16,"LP","BC","Acute","CH8",8,2.46,78,"8/7/21","(2021-Aug-07 10:27:12)","M61",20.94127778,"21",-0.002268691,-0.001922196,2.55e-05,0.969652735,0.616956978,15.27290355,0.522729733,212.4917615,3.541529358,"mg O2","8/7/21","(2021-Aug-07 16:45:06)","M8",20.86205556,-0.004428916,-0.004734186,4.53e-05,0.983963608,1.204417083,-6.892666889,1.28743354,523.3469675,8.722449459,20.86205556,523.3469675,8.722449458,"mg O2","MMR",1,4,2,310.855206,5.1809201,2.462904744,310.855206,5.1809201,2.462904744,0.689997568,90.72879862,0.52272973329,0.00871216222068,1.28743354005,0.02145722566914,265.391409227239,4.423190153371,550.434952156507,9.17391586997629,550.434952156507,9.17391586892453,285.043542929268,4.75072571660529,285.043542929268,4.75072571555353
17,"LP","BC","Acute","CH1",1,3.65,78,"8/5/21","(2021-Aug-05 04:47:08)","M54",23.04738889,"23",-0.004613236,-0.004529517,2.44e-05,0.994874188,1.234778691,1.81476076,1.212370411,332.1562771,5.535937952,"mg O2","8/5/21","(2021-Aug-05 11:09:34)","M1",23.02694444,-0.010072059,-0.010038304,2.69e-05,0.998728027,2.695887379,0.335132579,2.686852582,736.1239951,12.26873325,23.02694444,736.1239951,12.26873325,"mg O2","MMR",1,2,1,403.967718,6.7327953,2.216197753,403.967718,6.7327953,2.216197753,0.655066582,83.8446885,1.212370411415,0.0202061735248,2.686852582115,0.0447808763625,386.513347184607,6.44188912013134,761.891283758912,12.6981880609235,761.891283758912,12.6981880609235,375.377936574305,6.25629894079219,375.377936574305,6.25629894079219
18,"LP","BC","Acute","CH2",2,2.67,78,"8/5/21","(2021-Aug-05 07:43:08)","M70",23.00522222,"23",-0.003109319,-0.00274784,3.59e-05,0.970526846,0.84320988,11.62564104,0.745181326,279.0941295,4.651568825,"mg O2","8/5/21","(2021-Aug-05 11:20:34)","M2",23.01311111,-0.006361602,-0.006276713,3.11e-05,0.995662138,1.725189994,1.334391386,1.702169207,637.5165569,10.62527595,23.01311111,637.5165569,10.62527595,"mg O2","MMR",1,2,1,358.4224274,5.973707123,2.284234921,358.4224274,5.973707123,2.284234921,0.649481482,84.73361697,0.745181325765,0.01241968876275,1.702169206923,0.0283694867865,343.492308473083,5.72487180788472,668.282071631591,11.1380345289403,668.282071631591,11.1380345289403,324.789763158508,5.41316272105556,324.789763158508,5.41316272105556
19,"LP","BC","Acute","CH3",3,3.06,78,"8/5/21","(2021-Aug-05 07:32:08)","M69",23.00866667,"23",-0.003074551,-0.002934233,3.93e-05,0.968809508,0.829464656,4.563851206,0.791609123,258.6957918,4.31159653,"mg O2","8/4/21","(2021-Aug-05 11:31:34)","M3",23.06077778,-0.006493066,-0.006472417,2.25e-05,0.99784833,1.751725441,0.31802665,1.746154488,570.6387214,9.510645357,23.04822222,586.2327609,9.770546015,"mg O2","SMR",1,2,1,311.9429296,5.199048827,2.205829161,327.5369691,5.458949485,2.266108609,0.672439519,87.23280868,0.791609122908,0.0131934853818,1.746154487484,0.02910257479242,310.699023817081,5.17831706361802,594.866792957942,9.91444654964652,611.122921255485,10.1853820209248,284.167769140861,4.7361294860285,300.423897438404,5.00706495730674
20,"LP","BC","Acute","CH4",4,2.75,78,"8/5/21","(2021-Aug-05 05:31:08)","M58",23.0335,"23",-0.003493075,-0.003318246,1.94e-05,0.993919915,0.94627402,5.005007291,0.898912936,326.8774313,5.447957188,"mg O2","8/4/21","(2021-Aug-05 11:42:34)","M4",23.06316667,-0.006073994,-0.005990418,1.86e-05,0.998285822,1.645444966,1.375969107,1.622804152,590.1106007,9.835176678,23.04822222,621.6092752,10.36015459,"mg O2","SMR",1,2,1,263.2331694,4.38721949,1.805296249,294.7318439,4.912197398,1.90165859,0.666548148,86.96019376,0.898912936075,0.014981882267,1.622804151925,0.0270467358645,400.177343579186,6.66962239257836,617.845554179875,10.2974259026489,650.824653317051,10.8470775587742,217.668210600688,3.62780351007055,250.647309737865,4.17745516619583
21,"LP","BC","Acute","CH5",5,2.44,78,"8/5/21","(2021-Aug-05 08:27:08)","M74",22.98777778,"23",-0.00251545,-0.00231188,3.34e-05,0.964270263,0.68424256,8.092762662,0.628868433,257.7329645,4.295549408,"mg O2","8/5/21","(2021-Aug-05 12:26:34)","M8",23.04227778,-0.005337558,-0.005032557,2.32e-05,0.996233542,1.451901162,5.714236173,1.3689361,561.0393853,9.350656422,23.04227778,561.0393853,9.350656422,"mg O2","MMR",1,2,1,303.3064208,5.055107013,2.17682432,303.3064208,5.055107013,2.17682432,0.664973423,87.39456771,0.62886843338,0.01048114055552,1.368936100132,0.02281560166968,322.366843172383,5.37278071912279,590.274380941038,9.83790634936801,590.274380941038,9.83790634936801,267.907537768655,4.46512563024522,267.907537768655,4.46512563024522
22,"LP","BC","Acute","CH6",6,2.55,78,"8/5/21","(2021-Aug-05 10:17:08)","M84",23.03727778,"23",-0.00306084,-0.003204871,2.57e-05,0.988639969,0.831385231,-4.705604483,0.870506932,341.3752674,5.68958779,"mg O2","8/5/21","(2021-Aug-05 12:04:34)","M6",23.06,-0.005817631,-0.006065432,5.44e-05,0.985882023,1.58018491,-4.259482291,1.647492606,646.0755319,10.76792553,22.99955556,652.0823394,10.86803899,"mg O2","SMR",1,2,1,304.7002645,5.078337742,1.892566901,310.707072,5.1784512,1.910162808,0.569555495,73.98965908,0.87050693187,0.0145084488645,1.647492606345,0.0274582101015,423.622465567978,7.06037442613296,678.522820547054,11.3087136740339,684.831302707642,11.4138550451274,254.900354979077,4.24833924790091,261.208837139664,4.3534806189944
23,"LP","BC","Acute","CH7",7,2.53,78,"8/5/21","(2021-Aug-05 09:55:08)","M82",23.04666667,"23",-0.001583442,-0.002014392,2.75e-05,0.967736103,0.430208469,-27.21603337,0.547294149,216.3217981,3.605363302,"mg O2","8/5/21","(2021-Aug-05 12:26:34)","M8",23.04227778,-0.004732929,-0.005126165,3.31e-05,0.992624612,1.285898911,-8.308524964,1.392738143,550.4893846,9.174823077,23.04227778,550.4893846,9.174823077,"mg O2","MMR",1,2,1,334.1675865,5.569459775,2.544770751,334.1675865,5.569459775,2.544770751,0.679637808,89.59247703,0.547294149193,0.00912156915406,1.392738143038,0.02321230238481,268.81922527929,4.48032042173573,578.321440782254,9.63869068005443,578.321440782254,9.63869068005443,309.502215502964,5.1583702583187,309.502215502964,5.1583702583187
24,"LP","BC","Acute","CH8",8,2.52,78,"8/5/21","(2021-Aug-05 03:41:08)","M48",22.99644444,"23",-0.001622427,-0.001959792,2.51e-05,0.971312813,0.440858903,-20.79380087,0.532530226,211.3215181,3.522025302,"mg O2","8/5/21","(2021-Aug-05 12:26:34)","M8",23.04227778,-0.005987392,-0.006292662,4.55e-05,0.990784915,1.626941963,-5.098554276,1.709892483,678.5287629,11.30881272,23.04227778,678.5287629,11.30881272,"mg O2","MMR",1,2,1,467.2072448,7.786787413,3.21088344,467.2072448,7.786787413,3.21088344,0.689997568,90.72879862,0.532530225612,0.00887550376104,1.709892482508,0.0284982080544,262.791998794932,4.37986664699672,712.949240070185,11.8824873397567,712.949240070185,11.8824873397567,450.157241275253,7.50262069276,450.157241275253,7.50262069276
25,"LP","BC","Acute","CH1",1,3.6,78,"8/6/21","(2021-Aug-06 04:14:39)","M61",24.954,"25",-0.004556029,-0.004471509,2.69e-05,0.993574146,1.220286703,1.855109851,1.197649044,332.6802901,5.544671502,"mg O2","8/6/21","(2021-Aug-06 09:25:23)","M2",24.966,-0.009348682,-0.009312223,3.11e-05,0.9980185,2.5039509,0.389984705,2.494185875,692.8294096,11.54715683,24.966,692.8294096,11.54715683,"mg O2","MMR",1,3,1,360.1491195,6.002485325,2.08256825,360.1491195,6.002485325,2.08256825,0.655066582,83.8446885,1.19764904436,0.0199608174072,2.49418587456,0.041569764588,388.081656473588,6.46802760828198,717.483888290677,11.9580648082966,717.483888290677,11.9580648082966,329.402231817089,5.4900372000146,329.402231817089,5.4900372000146
26,"LP","BC","Acute","CH2",2,2.69,78,"8/6/21","(2021-Aug-06 02:02:39)","M49",25.03077778,"25",-0.003281641,-0.00306,3.11e-05,0.981944496,0.889705389,6.753961849,0.829615027,308.4070731,5.140117885,"mg O2","8/6/21","(2021-Aug-06 09:25:23)","M2",24.966,-0.006791813,-0.006706238,4.9e-05,0.990577655,1.841369197,1.259972351,1.818168455,675.8990538,11.26498423,24.966,675.8990538,11.26498423,"mg O2","MMR",1,3,1,367.4919807,6.124866345,2.19158091,367.4919807,6.124866345,2.19158091,0.649481482,84.73361697,0.829615026639,0.01382691711065,1.818168454722,0.0303028075787,379.061400327237,6.31769000545395,708.30167846669,11.8050279744448,708.30167846669,11.8050279744448,329.240278139453,5.48733796899088,329.240278139453,5.48733796899088
27,"LP","BC","Acute","CH3",3,3.03,78,"8/6/21","(2021-Aug-06 07:54:39)","M81",24.97477778,"25",-0.004255132,-0.004030381,2.49e-05,0.993233587,1.148425951,5.281860165,1.087767698,358.9992404,5.983320673,"mg O2","8/6/21","(2021-Aug-06 09:36:23)","M3",24.95394444,-0.00777839,-0.007757366,5.61e-05,0.990760794,2.099325355,0.270295443,2.093650974,690.9739188,11.51623198,24.95394444,690.9739188,11.51623198,"mg O2","MMR",1,3,1,331.9746784,5.532911307,1.924722509,331.9746784,5.532911307,1.924722509,0.672439519,87.23280868,1.087767698412,0.01812946163919,2.093650973964,0.0348941828994,431.927842484901,7.1987973743473,720.600053931293,12.0100008988549,720.600053931293,12.0100008988549,288.672211446392,4.81120352450759,288.672211446392,4.81120352450759
28,"LP","BC","Acute","CH4",4,2.73,78,"8/6/21","(2021-Aug-06 07:43:39)","M80",24.95772222,"25",-0.003544059,-0.00327128,1.94e-05,0.99378452,0.960340794,7.696796028,0.886425322,324.6979202,5.411632003,"mg O2","8/6/21","(2021-Aug-06 09:47:23)","M4",24.93138889,-0.007594484,-0.007509833,4.98e-05,0.99224004,2.057892653,1.114646057,2.034954434,745.4045544,12.42340924,24.93138889,745.4045544,12.42340924,"mg O2","MMR",1,3,1,420.7066342,7.011777237,2.295686261,420.7066342,7.011777237,2.295686261,0.666548148,86.96019376,0.886425322146,0.01477375536819,2.034954433512,0.0339159072252,398.029650292295,6.63382750446296,780.67014759291,13.0111691265485,780.67014759291,13.0111691265485,382.640497300616,6.37734162208554,382.640497300616,6.37734162208554
29,"LP","BC","Acute","CH5",5,2.37,78,"8/6/21","(2021-Aug-06 04:14:39)","M61",24.92361111,"25",-0.003909218,-0.003679459,2.35e-05,0.992769753,1.064354934,5.877349135,1.001799078,422.7000329,7.045000548,"mg O2","8/5/21","(2021-Aug-06 09:36:23)","M3",24.94616667,-0.00670705,-0.006344304,2.85e-05,0.996418888,1.826115128,5.4084355,1.727350869,728.8400292,12.14733382,24.94616667,728.8400292,12.14733382,"mg O2","MMR",1,3,1,306.1399963,5.102333272,1.724248811,306.1399963,5.102333272,1.724248811,0.664973423,87.39456771,1.001799077973,0.01669665129876,1.727350869204,0.0287891811534,531.470507893179,8.85784179780054,767.727874995446,12.7954645832574,767.727874995446,12.7954645832574,236.257367102268,3.93762278545691,236.257367102268,3.93762278545691
30,"LP","BC","Acute","CH6",6,2.43,78,"8/6/21","(2021-Aug-06 05:42:39)","M69",24.89922222,"25",-0.003551967,-0.003389902,2.46e-05,0.990678994,0.966319628,4.562664389,0.922229706,379.5183977,6.325306628,"mg O2","8/5/21","(2021-Aug-06 10:31:23)","M8",24.89116667,-0.005989155,-0.006217565,2.22e-05,0.997738856,1.629361732,-3.8137194,1.691501016,696.0909531,11.60151588,24.92866667,777.3202031,12.95533672,"mg O2","SMR",1,3,1,316.5725554,5.276209257,1.834142843,397.8018054,6.63003009,2.048175287,0.569555495,73.98965908,0.922229706411,0.01537049510604,1.691501016033,0.0281916835884,475.043088889037,7.91738481440005,732.485723220996,12.2080953817552,817.962004255784,13.6327000726835,257.442634331959,4.29071056735513,342.918915366747,5.71531525828349
31,"LP","BC","Acute","CH7",7,2.22,78,"8/6/21","(2021-Aug-06 07:54:39)","M81",24.94483333,"25",-0.003534296,-0.003104975,2.49e-05,0.988706862,0.964184326,12.14728135,0.847062143,381.5595239,6.359325398,"mg O2","8/5/21","(2021-Aug-06 10:31:23)","M8",24.89116667,-0.00565592,-0.006050075,4.57e-05,0.98992958,1.542980142,-6.968905428,1.650508969,743.4725085,12.39120848,24.98433333,845.048492,14.08414153,"mg O2","SMR",1,3,1,361.9129846,6.031883077,1.948509897,463.4889681,7.724816135,2.214722577,0.679637808,89.59247703,0.847062143058,0.01411770238356,1.65050896887,0.0275084828256,485.400470117212,8.09000783486282,785.227857039182,13.0871309559338,892.508611792674,14.8751435263574,299.82738692197,4.99712312107103,407.108141675462,6.78513569149455
32,"LP","BC","Acute","CH8",8,2.51,78,"8/6/21","(2021-Aug-05 23:50:39)","M37",24.95861111,"25",-0.002335798,-0.002022286,2.62e-05,0.971006748,0.634785816,13.42204023,0.549584609,218.9580115,3.649300192,"mg O2","8/5/21","(2021-Aug-06 12:43:23)","M20",24.986,-0.007059527,-0.007434577,3.45e-05,0.996190518,1.918525339,-5.312683154,2.020450511,804.960363,13.41600605,24.986,804.960363,13.41600605,"mg O2","MMR",1,3,1,586.0023515,9.766705858,3.676322951,586.0023515,9.766705858,3.676322951,0.689997568,90.72879862,0.549584608865,0.00915974348192,2.02045051113,0.0336741751855,272.482652292768,4.54137753862762,845.931360791363,14.0988560131894,845.931360791363,14.0988560131894,573.448708498594,9.55747847456176,573.448708498594,9.55747847456176
